,Comments
176,"Aleksandar Petrovic
3 days ago
This woman should write a book on journalism and that should be the only book for anyone who wants to become a journalist should know word for word.
2
REPLY"
177,"Medusa Gorgon
2 days ago
Historically speaking this was quite clear cut. Well done.
REPLY"
178,"choir1305
4 days ago
That report was outstanding! You've answered every question I've had since this thing stared. Thank you.
657
REPLY"
179,"Harinee Mosur
3 days ago
Wion again stands out with its simple clear explanation of the conflict.
REPLY"
180,"Anna Sydorenko
9 days ago
I am Ukrainian, and it is history of my motherland.  Thank you for showing it. It is important that world know before making their mind about what's happening. Love my country with all my ❤️.
258
REPLY"
181,"Baljit Dhillon
1 day ago (edited)
Really good explanation of the political history of Ukraine and Russia and current affairs.
REPLY"
182,"Garima Bhatt
1 day ago
Palki is speaking what she has been given in the form of a script. And the scriptwriter surely doesn't want to spit out the very very important reason of the war- expansion of NATO
3
REPLY"
183,"peter zanetic
18 hours ago
Fabulous and informative explanation. Well done 🙂
REPLY"
184,"Dave Hooper
2 days ago
Wow, that was Immense, now I understand why It Is and What It is.  I would never have known if I hadn't watched this video. How complex this all is. Thank you for your knowledge. Great video
REPLY"
185,"Shar DANS
3 days ago
What a very informative video👏  thank you for the lesson!!!
REPLY"
186,"Skimer54
8 days ago
As a Canadian, Ive been coming here more often to for news then any other. Palki Sharma Upadhyay is straight to the point and well spoken. Thanks!
268
REPLY"
187,"Roop G
2 days ago
Short but comprehensive explanation of the conflict, and the sting in the tail in the end …. The world has moved on from imperialism
1
REPLY"
188,"Susan Swartz
4 hours ago
Thank you for you  brilliant work done to show us whats happening in Ukrain... I feel very sorry for  the Ukrain people...mt heart goes out for them... fr South Africa
REPLY"
189,"Philip Duffer
2 days ago
Great summary and research. Great reporting.  Greetings from USA
2
REPLY"
190,"Jim A
2 days ago
Finally, someone who brings some facts to light. Thank you, pretty lady.
REPLY"
191,"InnerPeace
13 hours ago
""Past imperialism cannot justify present-day expansionism."" One for the textbooks
REPLY"
192,"Skins
8 days ago
Damn, that is one hell of an explanation in such a short period of time.
I wish I had learned more about history from someone like you that speaks so direct, clear, and with deep explanation (at each step).  Thank you for your video and education 🙏
373
REPLY"
193,"Dingdong Man
2 days ago
I came here watching not just for NEWS but to gain my knowledge. Thank you , Palki !!!
REPLY"
194,"one tome plz
8 hours ago
This was a good video you should make one (have not checked ur channel) about the oil and gas problem and Soviet gas lines in Ukrainian and the energy integration of those I very much enjoyed the historicity ties and would love to see what other thing have been missed
REPLY"
195,"GENESIS BACULBAS
1 day ago
WOW! JUST WATCHING THIS VIDEO GAVE ME A LOT OF VALUABLE INFORMATION ABOUT WHAT IS HAPPENING WITH THE CURRENT WAR! THANK YOU FOR THIS!
REPLY"
196,"Turning Signs
2 days ago
Great and much needed explanation, thank you
1
REPLY"
197,"Tonya Dallas
7 days ago
Palki, this is the best history lesson of these two countries in less than 10 minutes. I hope those who did not learn about these two countries in school, understand why Ukraine wants its independence. Thank you Palki.
312
REPLY"
198,"Laura Dana
6 hours ago
I was looking for a clear answer and I got it from you. Thank you!
1
REPLY"
199,"Hugo Albi
1 day ago
CNN and FOX News can learn a thing or two from the way you guys present information. Kuddos, keep it up!!
2
REPLY"
200,"Billy Crowson
4 days ago (edited)
This is a perfect example of how little we in the U.S understand outside of our border...great job..Ms.Palki, thank you
590
REPLY"
201,"GENESIS BACULBAS
1 day ago
WOW! JUST WATCHING THIS VIDEO GAVE ME A LOT OF VALUABLE INFORMATION ABOUT WHAT IS HAPPENING WITH THE CURRENT WAR! THANK YOU FOR THIS!
REPLY"
202,"Cat_cute 2345
2 days ago
Epic closing statement :)
Thanks for the history lesson!
REPLY"
203,"Theman_3000
2 days ago
Thank you very much for this. Very clear and easy to understand.
REPLY"
204,"Angela Dallimore
6 hours ago
Thankyou very much for explaining in great detail , I found the first part  a little eerie to say the least
1
REPLY"
205,"Wild West🎈
1 day ago
""Past imperialism cannot justify present day-expansionism""

Respect!
1
REPLY"
206,"AV
6 days ago
It's sad that factual, educational journalism has become a rarity in this world that we are surprised and eternally grateful when we come across it when it should be the norm. Nevertheless. Great explanation! Thank you
700
REPLY"
207,"S K
3 days ago
""...he doesn't realize that the world has moved on.""  ✌️😌 ❤️ Nailed it
REPLY"
208,"Michael Hawara
3 days ago
This is a very good video. I was a little confused at first but she really cleared up a lot. I also love that ending “He does not realize the world has moved on”
6
REPLY"
209,"K IT
2 days ago
Look what I found...Spot on down to the prediction of timing of invasion/Explains SO much: ""The REAL reason why Putin might invade Ukraine:
But the real key reason why Putin is risking everything by a possible invasion of Ukraine is the national defense strategy of Russia that sees an Ukraine part of NATO as an existential threat to Russia ‘s existence.
Read more
2
REPLY"
210,"Christopher Germain
21 hours ago
Excellent explanation of the facts.  Very well done.  Thanks!
REPLY"
211,"Rubi Cone
2 hours ago
Thank you.  Now I understand a bit better how this all started.  Very informative.
REPLY"
212,"Kyle Daugherty
8 days ago
American here.  If only our news systems were capable of delivering this sort of reporting.  Thank you, all who were involved, for this.
359
REPLY"
213,"DC Chianelli
1 day ago
Interesting analysis but you forgot to mention that if Ukraine would join Nato, Russia will loose an important buffer zone from Nato. We know that if Ukraine would join Nato, US will deploy any sort of missiles on this county and it is understandable why Putin won’t like this idea. On the other hand USA didn’t like either having some missile pointed at them (see Cuba crisis) but at that time intelligent politicians found a peaceful solution
Read more
2
REPLY"
214,"Pen Muni
3 days ago
This lady is a perfect combination of beauty, brain and articulation. Thank you for such a clear explanation.
REPLY"
215,"Phoenix
3 days ago
One thing missing in the video is, eastern Ukraine also has oil reserves and ready to use pipelines to export oil.
REPLY"
216,"Stuart Milne
3 days ago
Thank you for the very helpful history lesson
1
REPLY"
217,"SD Flores
2 days ago
Excellent description and said with clarity and ease. 👍
1
REPLY"
218,"RaluKid
8 days ago
I love how she ended it by saying: ""He does not realise, the world has moved on.""
424
REPLY"
219,"BlAir Akana
1 day ago
Great information on the history of both countries. However what is the main reason that it’s so important for Putin to invade Ukraine?
REPLY"
220,"Muciusz Scewolski
11 days ago
As a Polish who knows Slavic history well I have to say: WELL SERVED, OBJECTIVE INFORMATION.
441
REPLY"
221,"Rowena Agner
3 days ago
Thank you for this very informative history report.
REPLY"
222,"Malvika Verma
3 days ago
Great !! Really appreciate this precise yet clear explanation.. thanks
REPLY"
223,"Hellwi W
2 days ago
Englanti

this is one of the most truthful news stories i have seen. awesome condensed package of history, causes and consequences. hopefully Indian citizens will get home safely. hopefully this war and madness will end and each nation will be allowed to decide for itself.
Read more
REPLY"
224,"Shirio Reihou
3 days ago
High standards of journalism. Fair and accurate analysis. She can teach at any journalism Hight-School.
REPLY"
225,"Obinna Asiegbu
2 days ago
Explaining History and then correcting the actions and events of history. I'd love you share history without sentiments or biasness. Just tell us what happened and don't lead or mar our perspective with yours. Thank you
REPLY"
226,"Slame333
8 days ago
10 minutes ago I knew virtually nothing about this conflict. Now I feel like an expert on it, despite knowing slightly more than nothing. So job well done in this case!
610
REPLY"
227,"KlubGP Kingston
13 hours ago
As much as I admire your political analysis, in this case you are wrong.  Imagine what would USA do if Justin Castro, hilariously named Trudeau, allowed to build Chinese or Russian bases in southern Canada...?
1
REPLY"
228,"Paddypool FC
2 days ago
At last. A channel that give you facts and leaves you to make your own informed decisions.
REPLY"
229,"Pronami Mukherjee
2 days ago
Fantastic piece of summary about Ukraine 🇺🇦 👌. Thanks palki. ☺️
REPLY"
230,"🌻DUKESSA🌻
3 days ago (edited)
Very concise and straight to the point. Once again I salute you for your investigative type of journalism. No bias, just the truth and nothing but. This update is very helpful for all of us. Thank you. 👏👏👏🇵🇭🇵🇭🇵🇭
REPLY"
